pedido_id,data_venda,produto,categoria,quantidade,preco_unitario,regiao,canal,vendedor
PED-00608,2025-02-28,Mesa Regulavel,Mobiliario,4,2121.17,Centro-Oeste,Televendas,Elisa Rocha
PED-00746,2025-09-23,Microfone Condensador,Audio,1,778.15,Sudeste,E-commerce,Diego Matos
PED-00250,2025-02-28,Webcam Full HD,Perifericos,1,297.99,Sudeste,Loja Fisica,Heitor Braga
PED-00151,2025-06-30,Dock Station USB-C,Perifericos,3,864.56,Sul,Loja Fisica,Elisa Rocha
PED-00998,2025-03-09,SSD 1TB NVMe,Armazenamento,4,479.45,Sudeste,Marketplace,Fabio Lemos
PED-00459,2025-07-28,Notebook Pro 14,Informatica,1,4612.30,Sudeste,Televendas,Diego Matos
PED-01109,2025-12-05,Dock Station USB-C,Perifericos,2,776.78,Centro-Oeste,Loja Fisica,Carla Nunes
PED-00946,2025-10-26,Suporte Monitor,Mobiliario,1,268.98,Sudeste,Marketplace,Heitor Braga
PED-00060,2025-06-10,Notebook Pro 14,Informatica,2,4494.58,centro-oeste,E-commerce,Gisele Amaral
PED-00743,2025-02-06,Notebook Pro 14,Informatica,1,4749.12,Sudeste,Loja Fisica,Heitor Braga
PED-00083,2025-04-19,  Monitor 27 4K  ,Informatica,1,1657.22,Centro-Oeste,Televendas,Fabio Lemos
PED-00838,2025-04-09,Mesa Regulavel,Mobiliario,4,2093.46,Nordeste,Televendas,Fabio Lemos
PED-00561,2025-02-21,Notebook Pro 14,Informatica,3,4229.90,Nordeste,Loja Fisica,Heitor Braga
PED-00266,2025-12-17,Mesa Regulavel,Mobiliario,5,2167.69,Centro-Oeste,Televendas,Heitor Braga
PED-00781,2025-01-16,Mesa Regulavel,Mobiliario,1,2123.82,Norte,Televendas,Diego Matos
PED-00988,2025-02-04,Dock Station USB-C,Perifericos,1,"933,49",Norte,Televendas,Heitor Braga
PED-00076,2025-04-29,Caixa de Som Bluetooth,Audio,2,367.75,Centro-Oeste,,Diego Matos
PED-00862,2025-08-10,Microfone Condensador,Audio,1,641.32,Norte,Marketplace,Fabio Lemos
PED-00186,2025-06-08,Notebook Pro 14,Informatica,1,4843.74,Nordeste,Televendas,Ana Prado
PED-00018,2025-10-02,Mesa Regulavel,Mobiliario,3,2258.72,Nordeste,Televendas,
PED-00538,2025-04-04,Suporte Monitor,Mobiliario,1,282.26,Nordeste,E-commerce,Diego Matos
PED-00843,2025-02-24,Notebook Pro 14,Informatica,1,4817.14,Centro-Oeste,E-commerce,Bruno Salles
PED-01130,2025-07-03,Teclado Mecanico,Perifericos,2,409.34,Nordeste,Televendas,Carla Nunes
PED-00351,2025-07-27,Dock Station USB-C,Perifericos,1,822.90,Centro-Oeste,Loja Fisica,Diego Matos
PED-00762,2025-03-17,Teclado Mecanico,Perifericos,1,392.74,Sul,Televendas,Bruno Salles
PED-00030,2025-02-18,Dock Station USB-C,Perifericos,1,828.96,Sudeste,Marketplace,Fabio Lemos
PED-00493,2025-05-31,SSD 1TB NVMe,Armazenamento,1,559.51,Sudeste,Televendas,Elisa Rocha
PED-00290,2025-06-02,Teclado Mecanico,Perifericos,5,353.17,Sul,Televendas,Elisa Rocha
PED-00870,2025-01-20,Caixa de Som Bluetooth,Audio,2,386.90,Norte,Marketplace,Fabio Lemos
PED-01006,2025-11-10,Monitor 27 4K,Informatica,4,1801.03,Sul,E-commerce,Bruno Salles
PED-00131,2025-07-16,SSD 1TB NVMe,Armazenamento,1,527.18,Sul,Loja Fisica,Bruno Salles
PED-00878,2025-05-23,Notebook Pro 14,Informatica,1,4231.67,Nordeste,Loja Fisica,Elisa Rocha
PED-00100,2025-04-24,  SSD 1TB NVMe  ,Armazenamento,3,476.87,Centro-Oeste,Loja Fisica,Elisa Rocha
PED-00921,2025-01-04,Notebook Pro 14,Informatica,4,4235.45,Sul,E-commerce,Elisa Rocha
PED-00198,2025-11-13,Webcam Full HD,Perifericos,1,301.02,Centro-Oeste,Televendas,Bruno Salles
PED-00435,2025-10-03,Suporte Monitor,Mobiliario,1,272.89,Norte,Loja Fisica,Elisa Rocha
PED-00792,2025-04-26,SSD 1TB NVMe,Armazenamento,1,484.63,Sudeste,Marketplace,Ana Prado
PED-00806,2025-01-27,Microfone Condensador,Audio,1,751.87,Centro-Oeste,Televendas,Elisa Rocha
PED-01062,2025-08-13,Mouse Ergonomico,Perifericos,1,256.91,Nordeste,Marketplace,Ana Prado
PED-00971,2025-11-28,Suporte Monitor,Mobiliario,2,265.46,Nordeste,Marketplace,Elisa Rocha
PED-00948,2025-12-20,Microfone Condensador,Audio,2,694.30,Nordeste,,Elisa Rocha
PED-00530,11/07/2025,HD Externo 4TB,Armazenamento,10,729.26,Norte,Televendas,Elisa Rocha
PED-01071,2025-11-17,  Notebook Pro 14  ,Informatica,5,4789.37,Sul,E-commerce,Heitor Braga
PED-01013,2025-08-08,Teclado Mecanico,Perifericos,2,354.08,Sul,E-commerce,Heitor Braga
PED-00565,2025-06-25,Caixa de Som Bluetooth,Audio,3,387.38,Sul,E-commerce,Gisele Amaral
PED-00837,2025-09-24,  Headset Studio  ,Perifericos,1,514.68,Nordeste,E-commerce,Elisa Rocha
PED-00373,2025-11-30,SSD 1TB NVMe,Armazenamento,1,556.19,Norte,Loja Fisica,Elisa Rocha
PED-00424,2025-02-22,Teclado Mecanico,Perifericos,1,388.40,Sudeste,Televendas,Fabio Lemos
PED-00726,07/12/2025,SSD 1TB NVMe,Armazenamento,3,476.97,Sul,Marketplace,Gisele Amaral
PED-00811,2025-04-17,Cadeira Ergonomica,Mobiliario,2,1510.90,Sudeste,Loja Fisica,Carla Nunes
PED-00003,2025-01-14,Notebook Pro 14,Informatica,1,"4650,74",Norte,Loja Fisica,Gisele Amaral
PED-00625,2025-04-12,  Mouse Ergonomico  ,Perifericos,2,224.94,Norte,Marketplace,Fabio Lemos
PED-00446,2025-01-19,Caixa de Som Bluetooth,Audio,1,434.18,Norte,Marketplace,Diego Matos
PED-00847,2025-08-27,Mouse Ergonomico,Perifericos,2,247.91,Centro-Oeste,Loja Fisica,
PED-00880,2025-05-14,Mesa Regulavel,Mobiliario,1,2316.49,Sul,Marketplace,Carla Nunes
PED-00581,2025-09-10,  Suporte Monitor  ,Mobiliario,1,287.20,Sul,Marketplace,Bruno Salles
PED-00464,2025-03-04,SSD 1TB NVMe,Armazenamento,1,553.81,Sudeste,E-commerce,Diego Matos
PED-00037,2025-01-30,Monitor 27 4K,Informatica,1,1599.44,Norte,E-commerce,Fabio Lemos
PED-00327,2025-10-23,Microfone Condensador,Audio,4,722.95,Norte,Televendas,Diego Matos
PED-00288,2025-06-16,Suporte Monitor,Mobiliario,1,248.72,Centro-Oeste,Marketplace,Fabio Lemos
PED-00849,2025-09-07,Dock Station USB-C,Perifericos,4,814.31,Sudeste,E-commerce,Heitor Braga
PED-00146,2025-12-08,SSD 1TB NVMe,Armazenamento,2,517.11,Sudeste,Marketplace,Elisa Rocha
PED-01019,2025-07-27,Headset Studio,Perifericos,1,581.41,Centro-Oeste,Televendas,Carla Nunes
PED-00157,2025-03-05,Dock Station USB-C,Perifericos,1,803.57,Centro-Oeste,Televendas,Elisa Rocha
PED-00832,2025-01-20,HD Externo 4TB,Armazenamento,1,609.84,Sul,E-commerce,Heitor Braga
PED-00601,2025-01-03,Monitor 27 4K,Informatica,1,1824.37,Nordeste,Marketplace,Carla Nunes
PED-00753,2025-11-02,Notebook Pro 14,Informatica,3,5117.83,Sudeste,Loja Fisica,Elisa Rocha
PED-00713,2025-06-26,HD Externo 4TB,Armazenamento,3,712.69,Nordeste,Marketplace,Ana Prado
PED-00826,2025-08-24,Mesa Regulavel,Mobiliario,1,2017.67,Norte,Televendas,Heitor Braga
PED-00610,2025-06-14,Notebook Pro 14,Informatica,1,4793.69,Norte,E-commerce,Bruno Salles
PED-00276,2025-04-10,Notebook Pro 14,Informatica,1,4714.24,Nordeste,Televendas,Bruno Salles
PED-00855,2025-10-12,Notebook Pro 14,Informatica,2,4609.22,Sudeste,Marketplace,Carla Nunes
PED-00154,2025-03-09,Headset Studio,Perifericos,3,530.19,Norte,Televendas,Elisa Rocha
PED-01053,2025-03-03,Teclado Mecanico,Perifericos,1,388.69,Norte,Televendas,Heitor Braga
PED-00912,2025-10-24,Mesa Regulavel,Mobiliario,4,2192.25,Sul,E-commerce,
PED-01091,2025-03-28,Notebook Pro 14,Informatica,1,4434.37,Norte,Televendas,Diego Matos
PED-00438,2025-05-06,Suporte Monitor,Mobiliario,5,250.47,Sudeste,Marketplace,Bruno Salles
PED-00340,2025-07-09,Dock Station USB-C,Perifericos,3,919.25,NORDESTE,Marketplace,Ana Prado
PED-00563,2025-03-01,Dock Station USB-C,Perifericos,2,832.33,Sudeste,E-commerce,Ana Prado
PED-00553,2025-07-12,Headset Studio,Perifericos,2,604.05,Nordeste,E-commerce,Ana Prado
PED-00752,2025-07-04,Dock Station USB-C,Perifericos,2,889.03,Centro-Oeste,Marketplace,Gisele Amaral
PED-00603,2025-12-29,  Dock Station USB-C  ,Perifericos,2,820.24,Nordeste,Loja Fisica,Carla Nunes
PED-00217,2025-02-09,Teclado Mecanico,Perifericos,1,342.14,Nordeste,E-commerce,Ana Prado
PED-00528,2025-08-24,Webcam Full HD,Perifericos,4,335.68,Nordeste,Loja Fisica,Heitor Braga
PED-00242,2025-09-23,  Monitor 27 4K  ,Informatica,1,1699.61,Nordeste,E-commerce,Gisele Amaral
PED-00086,2025-01-11,Dock Station USB-C,Perifericos,1,"800,52",Norte,Loja Fisica,Diego Matos
PED-00942,2025-09-16,Notebook Pro 14,Informatica,1,4616.80,Sudeste,Marketplace,
PED-00699,2025-08-17,Headset Studio,Perifericos,1,570.30,Sudeste,Marketplace,Elisa Rocha
PED-00185,2025-11-15,Microfone Condensador,Audio,2,751.61,Norte,,Elisa Rocha
PED-00358,2025-05-04,Caixa de Som Bluetooth,Audio,1,369.76,Norte,Marketplace,Fabio Lemos
PED-00554,2025-01-25,Mesa Regulavel,Mobiliario,1,2329.44,Sudeste,Marketplace,Heitor Braga
PED-00874,2025-09-20,HD Externo 4TB,Armazenamento,3,659.70,Centro-Oeste,Televendas,Gisele Amaral
PED-00682,2025-03-21,Microfone Condensador,Audio,1,729.32,Sudeste,E-commerce,Bruno Salles
PED-00605,2025-06-19,Headset Studio,Perifericos,1,534.71,Nordeste,Televendas,Elisa Rocha
PED-00577,2025-02-16,Webcam Full HD,Perifericos,1,"315,78",Norte,Televendas,Diego Matos
PED-00296,30/08/2025,Notebook Pro 14,Informatica,1,4479.53,Sudeste,Loja Fisica,Ana Prado
PED-00897,2025-06-20,Mouse Ergonomico,Perifericos,3,231.55,Sudeste,Televendas,Elisa Rocha
PED-00156,2025-04-26,SSD 1TB NVMe,Armazenamento,5,482.11,Centro-Oeste,Televendas,Bruno Salles
PED-00542,2025-04-13,Notebook Pro 14,Informatica,4,4303.96,Nordeste,Marketplace,Heitor Braga
PED-00311,2025-12-26,Suporte Monitor,Mobiliario,10,258.00,Norte,Marketplace,Diego Matos
PED-01088,2025-01-19,Teclado Mecanico,Perifericos,1,349.34,Centro-Oeste,Televendas,Carla Nunes
PED-00218,2025-03-09,Mesa Regulavel,Mobiliario,1,2297.47,Norte,Marketplace,Carla Nunes
PED-00126,2025-11-15,Webcam Full HD,Perifericos,1,313.76,Centro-Oeste,Marketplace,Ana Prado
PED-00102,2025-05-09,Headset Studio,Perifericos,2,541.61,Sul,E-commerce,Diego Matos
PED-00580,2025-06-24,Notebook Pro 14,Informatica,3,4373.37,Nordeste,Televendas,Fabio Lemos
PED-00160,04/06/2025,Mesa Regulavel,Mobiliario,3,2363.00,Centro-Oeste,E-commerce,Carla Nunes
PED-00775,2025-07-18,SSD 1TB NVMe,Armazenamento,2,467.57,Nordeste,Televendas,Bruno Salles
PED-00518,2025-07-28,Teclado Mecanico,Perifericos,1,402.64,Centro-Oeste,Televendas,Ana Prado
PED-00427,2025-03-13,Microfone Condensador,Audio,1,770.96,Sudeste,Marketplace,Fabio Lemos
PED-00260,2025-03-05,Webcam Full HD,Perifericos,2,336.78,Norte,Loja Fisica,Elisa Rocha
PED-00121,2025-08-29,Cadeira Ergonomica,Mobiliario,1,1491.87,NORTE,Marketplace,Elisa Rocha
PED-00558,2025-04-13,Dock Station USB-C,Perifericos,1,791.86,Nordeste,Loja Fisica,Fabio Lemos
PED-00808,2025-01-07,Teclado Mecanico,Perifericos,1,391.10,Centro-Oeste,Marketplace,Heitor Braga
PED-00304,2025-12-12,Suporte Monitor,Mobiliario,1,253.61,Sul,Loja Fisica,Gisele Amaral
PED-00509,2025-02-04,Headset Studio,Perifericos,4,618.67,Sudeste,Marketplace,Gisele Amaral
PED-00047,2025-11-06,Suporte Monitor,Mobiliario,2,252.35,Sul,Televendas,Diego Matos
PED-00774,23/12/2025,Mouse Ergonomico,Perifericos,1,226.61,Norte,Televendas,Ana Prado
PED-00626,2025-02-21,Headset Studio,Perifericos,1,587.68,Nordeste,E-commerce,Diego Matos
PED-00073,2025-08-07,Cadeira Ergonomica,Mobiliario,3,1532.32,Norte,Marketplace,Carla Nunes
PED-00845,2025-12-10,Headset Studio,Perifericos,3,594.56,Norte,E-commerce,Heitor Braga
PED-00027,2025-04-23,Notebook Pro 14,Informatica,2,4381.55,Sudeste,E-commerce,Ana Prado
PED-00527,2025-04-25,Mesa Regulavel,Mobiliario,1,2313.30,NORDESTE,Televendas,Elisa Rocha
PED-00555,2025-12-26,Webcam Full HD,Perifericos,1,296.28,Sul,Loja Fisica,Ana Prado
PED-01002,2025-08-09,  Notebook Pro 14  ,Informatica,1,4630.10,Sudeste,Loja Fisica,
PED-00499,2025-12-05,Headset Studio,Perifericos,1,519.65,Norte,Marketplace,Diego Matos
PED-00004,2025-01-04,Teclado Mecanico,Perifericos,1,353.11,Sul,Marketplace,Fabio Lemos
PED-00323,2025-03-21,Microfone Condensador,Audio,1,705.65,Nordeste,Loja Fisica,Bruno Salles
PED-00227,11/02/2025,Webcam Full HD,Perifericos,2,295.16,Nordeste,Loja Fisica,Ana Prado
PED-01058,11/01/2025,SSD 1TB NVMe,Armazenamento,2,556.84,Norte,E-commerce,Ana Prado
PED-00165,2025-11-27,Mesa Regulavel,Mobiliario,1,2359.48,Nordeste,E-commerce,Gisele Amaral
PED-00402,2025-10-17,HD Externo 4TB,Armazenamento, 1 ,703.30,Centro-Oeste,E-commerce,Bruno Salles
PED-00448,2025-04-02,Notebook Pro 14,Informatica,2,5038.60,Sul,E-commerce,Gisele Amaral
PED-00451,2025-04-11,Headset Studio,Perifericos,2,568.25,Norte,Loja Fisica,Carla Nunes
PED-01038,2025-02-08,Webcam Full HD,Perifericos,1,321.46,Norte,Loja Fisica,Elisa Rocha
PED-00821,2025-03-02,Notebook Pro 14,Informatica,1,4768.20,Sul,Marketplace,Gisele Amaral
PED-00659,2025-06-11,Webcam Full HD,Perifericos,2,324.91,Centro-Oeste,Televendas,
PED-00791,2025-11-29,HD Externo 4TB,Armazenamento,4,659.68,Nordeste,Loja Fisica,Gisele Amaral
PED-00613,11/08/2025,HD Externo 4TB,Armazenamento,3,716.98,Sudeste,Loja Fisica,Ana Prado
PED-00341,2025-01-09,Cadeira Ergonomica,Mobiliario,4,1487.39,Nordeste,Marketplace,Elisa Rocha
PED-00859,2025-10-19,Teclado Mecanico,Perifericos,2,356.10,Nordeste,Marketplace,Fabio Lemos
PED-00277,2025-05-24,Webcam Full HD,Perifericos,2,329.95,Norte,E-commerce,Carla Nunes
PED-00940,2025-05-07,Mouse Ergonomico,Perifericos,1,233.81,Sul,Televendas,Gisele Amaral
PED-00707,2025-06-08,Notebook Pro 14,Informatica,2,5022.49,Sul,Loja Fisica,Elisa Rocha
PED-01145,05/06/2025,  Webcam Full HD  ,Perifericos,4,325.76,Nordeste,Televendas,Ana Prado
PED-00170,2025-01-08,Notebook Pro 14,Informatica,2,4181.71,Nordeste,Loja Fisica,Fabio Lemos
PED-00376,2025-07-06,Webcam Full HD,Perifericos,1,331.36,Sudeste,Loja Fisica,Carla Nunes
PED-00587,2025-05-08,Webcam Full HD,Perifericos,10,339.92,Nordeste,Marketplace,Fabio Lemos
PED-00788,2025-05-21,Suporte Monitor,Mobiliario,5,287.04,Sul,Loja Fisica,Bruno Salles
PED-00385,2025-02-13,Notebook Pro 14,Informatica,1,4445.43,Sudeste,Loja Fisica,Fabio Lemos
PED-00963,2025-03-29,Cadeira Ergonomica,Mobiliario,1,1501.73,Nordeste,Loja Fisica,Heitor Braga
PED-00332,2025-08-26,Mouse Ergonomico,Perifericos,4,219.63,Sudeste,Marketplace,Gisele Amaral
PED-00518,2025-07-28,Teclado Mecanico,Perifericos,1,402.64,Centro-Oeste,Televendas,Ana Prado
PED-00267,01/08/2025,Notebook Pro 14,Informatica,2,4311.10,Centro-Oeste,Marketplace,Diego Matos
PED-01031,2025-07-02,Webcam Full HD,Perifericos,1,302.36,Centro-Oeste,Televendas,Ana Prado
PED-00759,2025-03-03,Caixa de Som Bluetooth,Audio,3,391.05,Sul,,Gisele Amaral
PED-00624,2025-10-18,Teclado Mecanico,Perifericos,1,"383,74",Sudeste,Marketplace,Bruno Salles
PED-00901,2025-11-24,Notebook Pro 14,Informatica,4,4302.08,Sudeste,E-commerce,Gisele Amaral
PED-00458,2025-04-14,Headset Studio,Perifericos,1,537.14,Sul,E-commerce,Carla Nunes
PED-00496,2025-02-21,Cadeira Ergonomica,Mobiliario,4,1313.32,Nordeste,Loja Fisica,Diego Matos
PED-00465,2025-12-18,Monitor 27 4K,Informatica,1,1664.91,Sudeste,Televendas,Bruno Salles
PED-01121,2025-08-01,Notebook Pro 14,Informatica,2,4853.90,Centro-Oeste,Televendas,Ana Prado
PED-00978,2025-07-10,Suporte Monitor,Mobiliario,4,257.78,Sudeste,Televendas,Fabio Lemos
PED-00228,2025-11-29,Headset Studio,Perifericos, 5 ,609.68,Nordeste,Loja Fisica,Carla Nunes
PED-01143,2025-08-11,Headset Studio,Perifericos,1,601.68,Sudeste,Marketplace,Ana Prado
PED-00372,2025-07-22,Notebook Pro 14,Informatica,1,4163.12,nordeste,Marketplace,Fabio Lemos
PED-00433,2025-01-08,Dock Station USB-C,Perifericos,1,861.05,Nordeste,Loja Fisica,Ana Prado
PED-00020,2025-09-17,Microfone Condensador,Audio,2,762.73,Norte,,
PED-00329,2025-03-31,Mouse Ergonomico,Perifericos,1,259.82,Centro-Oeste,Marketplace,Ana Prado
PED-00105,2025-04-02,Microfone Condensador,Audio,1,670.73,Nordeste,E-commerce,Carla Nunes
PED-00718,31/07/2025,Mesa Regulavel,Mobiliario,3,2316.93,Sul,E-commerce,Carla Nunes
PED-00836,2025-01-03,Webcam Full HD,Perifericos,2,314.02,Nordeste,E-commerce,Bruno Salles
PED-00994,2025-12-17,HD Externo 4TB,Armazenamento,1,638.36,Nordeste,Televendas,Fabio Lemos
PED-01030,2025-07-07,Notebook Pro 14,Informatica,2,4281.88,NORDESTE,E-commerce,Fabio Lemos
PED-00888,2025-12-02,Mouse Ergonomico,Perifericos,1,217.33,Norte,Marketplace,Heitor Braga
PED-00938,29/03/2025,Dock Station USB-C,Perifericos,3,926.09,Norte,Loja Fisica,Bruno Salles
PED-01052,10/12/2025,Caixa de Som Bluetooth,Audio,5,431.30,Sudeste,Marketplace,Carla Nunes
PED-00757,07/09/2025,  Suporte Monitor  ,Mobiliario,1,264.08,Norte,E-commerce,Elisa Rocha
PED-01133,2025-10-13,Dock Station USB-C,Perifericos,1,764.81,nordeste,Loja Fisica,Bruno Salles
PED-00663,2025-03-02,Suporte Monitor,Mobiliario,1,285.35,Sul,Marketplace,Carla Nunes
PED-00612,2025-12-17,Mesa Regulavel,Mobiliario,2,2044.13,Centro-Oeste,E-commerce,Diego Matos
PED-00955,2025-09-27,Headset Studio,Perifericos,1,567.40,Sudeste,Marketplace,Elisa Rocha
PED-00220,2025-08-16,Webcam Full HD,Perifericos,1,327.00,Norte,Televendas,Heitor Braga
PED-00611,01/10/2025,Monitor 27 4K,Informatica,10,1798.35,sudeste,E-commerce,Diego Matos
PED-01119,2025-08-30,Suporte Monitor,Mobiliario,2,290.93,Sudeste,Marketplace,Diego Matos
PED-00159,2025-06-17,Notebook Pro 14,Informatica,2,5078.92,Norte,Loja Fisica,
PED-00064,2025-08-04,Suporte Monitor,Mobiliario,1,244.25,Centro-Oeste,Loja Fisica,
PED-00989,2025-12-18,Cadeira Ergonomica,Mobiliario,1,1343.36,Centro-Oeste,E-commerce,Fabio Lemos
PED-00547,2025-09-29,Notebook Pro 14,Informatica,4,4896.70,Sul,E-commerce,Ana Prado
PED-00664,2025-06-23,Notebook Pro 14,Informatica,1,4548.25,norte,E-commerce,Carla Nunes
PED-00444,2025-12-12,Mouse Ergonomico,Perifericos,3,257.11,Sudeste,Loja Fisica,Ana Prado
PED-00504,2025-12-09,Dock Station USB-C,Perifericos,2,773.71,Nordeste,Marketplace,
PED-00861,2025-01-28,Notebook Pro 14,Informatica,1,4693.31,Sudeste,Televendas,Bruno Salles
PED-00301,05/11/2025,Caixa de Som Bluetooth,Audio,1,381.16,Sudeste,Televendas,Elisa Rocha
PED-00258,2025-06-12,Microfone Condensador,Audio,2,655.42,sudeste,Marketplace,Heitor Braga
PED-00120,2025-10-22,Notebook Pro 14,Informatica,1,4815.96,norte,E-commerce,Elisa Rocha
PED-00380,2025-09-17,Cadeira Ergonomica,Mobiliario,1,1385.94,Centro-Oeste,E-commerce,Fabio Lemos
PED-00328,2025-09-24,Mouse Ergonomico,Perifericos,4,261.68,Sul,Marketplace,Elisa Rocha
PED-01086,2025-05-16,Caixa de Som Bluetooth,Audio,4,407.51,Norte,Televendas,Gisele Amaral
PED-00987,2025-11-27,Webcam Full HD,Perifericos,1,339.32,Sul,E-commerce,Bruno Salles
PED-00230,2025-05-12,Cadeira Ergonomica,Mobiliario,1,1290.11,Sul,Loja Fisica,Gisele Amaral
PED-00300,2025-07-23,Caixa de Som Bluetooth,Audio,4,439.71,Centro-Oeste,Loja Fisica,Elisa Rocha
PED-00711,2025-06-27,HD Externo 4TB,Armazenamento,2,668.77,Centro-Oeste,Loja Fisica,Bruno Salles
PED-00751,2025-10-16,Microfone Condensador,Audio,3,727.79,Norte,Loja Fisica,Gisele Amaral
PED-00785,2025-03-11,Mouse Ergonomico,Perifericos,2,257.33,Centro-Oeste,Loja Fisica,Carla Nunes
PED-00491,2025-03-27,Notebook Pro 14,Informatica,1,4872.97,centro-oeste,Marketplace,Gisele Amaral
PED-00247,2025-08-13,Notebook Pro 14,Informatica,1,4750.71,SUDESTE,Loja Fisica,Bruno Salles
PED-00817,2025-10-20,Suporte Monitor,Mobiliario,1,240.40,Norte,E-commerce,Heitor Braga
PED-01116,2025-04-18,Suporte Monitor,Mobiliario,10,285.08,Centro-Oeste,Loja Fisica,Diego Matos
PED-00886,2025-12-14,Mouse Ergonomico,Perifericos,5,234.85,Nordeste,E-commerce,Bruno Salles
PED-00353,2025-11-23,Webcam Full HD,Perifericos,1,310.97,Sudeste,Loja Fisica,Bruno Salles
PED-00552,2025-01-12,Teclado Mecanico,Perifericos,3,341.65,norte,Loja Fisica,Bruno Salles
PED-00390,2025-11-24,Dock Station USB-C,Perifericos,1,789.33,Centro-Oeste,Marketplace,Ana Prado
PED-00952,2025-12-30,Mesa Regulavel,Mobiliario,2,"1977,19",sul,Loja Fisica,Fabio Lemos
PED-00090,2025-05-05,Notebook Pro 14,Informatica,2,4968.80,Sudeste,Televendas,Bruno Salles
PED-00171,2025-08-04,Notebook Pro 14,Informatica,1,4207.75,Norte,E-commerce,Bruno Salles
PED-00617,2025-02-07,Dock Station USB-C,Perifericos,3,764.60,Nordeste,E-commerce,Elisa Rocha
PED-01081,2025-07-01,Headset Studio,Perifericos,5,565.57,Norte,E-commerce,Ana Prado
PED-01104,2025-09-11,Mesa Regulavel,Mobiliario,2,2017.52,Norte,E-commerce,
PED-00747,2025-12-03,HD Externo 4TB,Armazenamento,1,621.15,Sul,Loja Fisica,Gisele Amaral
PED-00662,2025-06-07,Headset Studio,Perifericos,2,567.10,Norte,Televendas,Gisele Amaral
PED-00357,2025-04-17,Caixa de Som Bluetooth,Audio,4,357.46,Norte,Loja Fisica,Gisele Amaral
PED-00324,2025-01-09,Notebook Pro 14,Informatica,3,4566.52,Sul,Loja Fisica,Bruno Salles
PED-00167,2025-03-06,Notebook Pro 14,Informatica,3,4394.71,Norte,Loja Fisica,
PED-00308,2025-12-08,Mesa Regulavel,Mobiliario,1,2054.73,Sudeste,Marketplace,Elisa Rocha
PED-00665,2025-02-16,Webcam Full HD,Perifericos,5,280.00,Sul,Marketplace,Gisele Amaral
PED-00886,2025-12-14,Mouse Ergonomico,Perifericos,5,234.85,Nordeste,E-commerce,Bruno Salles
PED-00767,2025-04-08,  Mesa Regulavel  ,Mobiliario,1,2113.79,Nordeste,Televendas,Ana Prado
PED-01026,2025-12-04,SSD 1TB NVMe,Armazenamento,1,486.07,Nordeste,Loja Fisica,Heitor Braga
PED-01032,2025-06-09,Mesa Regulavel,Mobiliario,1,2053.96,Norte,E-commerce,Bruno Salles
PED-00967,2025-03-06,Notebook Pro 14,Informatica,1,4466.16,Centro-Oeste,Televendas,Fabio Lemos
PED-00879,2025-02-27,Mouse Ergonomico,Perifericos,4,213.12,Norte,Loja Fisica,Carla Nunes
PED-00892,2025-01-13,Suporte Monitor,Mobiliario,1,247.92,Norte,E-commerce,Ana Prado
PED-00365,2025-07-04,Notebook Pro 14,Informatica,1,4457.99,Nordeste,E-commerce,Carla Nunes
PED-00053,2025-12-08,Caixa de Som Bluetooth,Audio,1,413.31,Sudeste,Televendas,Gisele Amaral
PED-00972,2025-03-17,Dock Station USB-C,Perifericos,10,858.62,Norte,Marketplace,Fabio Lemos
PED-00739,2025-10-03,Headset Studio,Perifericos,3,588.01,Centro-Oeste,Loja Fisica,Heitor Braga
PED-00393,2025-05-15,Headset Studio,Perifericos, 1 ,563.96,Centro-Oeste,,Gisele Amaral
PED-00155,2025-09-04,Microfone Condensador,Audio,1,773.57,Nordeste,Televendas,Bruno Salles
PED-00786,2025-03-02,Headset Studio,Perifericos,1,573.00,Sul,Televendas,Carla Nunes
PED-00716,2025-05-08,Webcam Full HD,Perifericos,4,308.41,Sul,Marketplace,Gisele Amaral
PED-00454,2025-03-14,Webcam Full HD,Perifericos,1,283.59,Nordeste,,Ana Prado
PED-00035,2025-07-25,Webcam Full HD,Perifericos,1,293.71,Sudeste,Loja Fisica,Gisele Amaral
PED-01047,2025-12-18,Microfone Condensador,Audio,1,660.71,Norte,Loja Fisica,Gisele Amaral
PED-00189,18/10/2025,Headset Studio,Perifericos,1,548.01,Norte,E-commerce,Ana Prado
PED-00320,2025-07-12,SSD 1TB NVMe,Armazenamento,4,566.21,Sudeste,Loja Fisica,Fabio Lemos
PED-01083,2025-09-10,Cadeira Ergonomica,Mobiliario,1,1317.12,Nordeste,Marketplace,Carla Nunes
PED-00895,2025-12-05,Suporte Monitor,Mobiliario,1,253.59,Sudeste,Marketplace,Elisa Rocha
PED-00418,2025-04-14,SSD 1TB NVMe,Armazenamento,1,571.84,Sul,Televendas,Carla Nunes
PED-00920,20/11/2025,  Caixa de Som Bluetooth  ,Audio,2,367.33,Norte,Marketplace,Carla Nunes
PED-00034,2025-01-08,Notebook Pro 14,Informatica,2,4685.20,Sudeste,Loja Fisica,Carla Nunes
PED-01128,2025-02-14,Cadeira Ergonomica,Mobiliario,1,1472.33,Centro-Oeste,Loja Fisica,Carla Nunes
PED-00235,2025-07-11,Microfone Condensador,Audio,1,731.87,NORDESTE,E-commerce,Fabio Lemos
PED-00750,2025-06-16,Caixa de Som Bluetooth,Audio,1,382.56,Nordeste,Marketplace,Gisele Amaral
